Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2016-01-10,1776.4521484375,2642.37060546875,12.951159477233887,77.71527862548828,12.951677322387695,77.7159194946289,1.1244882345199585,1.25,1.0,5526,,,,,80741915,3070219,
2016-01-11,1845.4501953125,3207.243896484375,12.950981140136719,77.71529388427734,12.958979606628418,77.71680450439453,1.7104856967926025,1.8027756214141846,1.5,6229,,,,,82065635,4226538,
2016-01-12,1746.9053955078125,2608.109619140625,12.951010704040527,77.71533966064453,12.958677291870117,77.71660614013672,1.75,1.75,1.75,4291,,,,,83824942,2575058,
2016-01-13,1838.92626953125,3406.3603515625,12.951189994812012,77.7155532836914,12.958697319030762,77.71681213378906,0.9013878107070923,0.9013878107070923,0.9013878107070923,6503,,,,,80805661,4113295,
2016-01-14,1856.887939453125,3807.297119140625,12.951355934143066,77.71561431884766,12.958632469177246,77.71678161621094,,,,7749,,,,,79951372,4418212,
2016-01-15,1832.4517822265625,3575.083984375,,,,,,,,7426,,,,,77439982,4008699,
2016-01-16,1863.981201171875,4087.432373046875,12.950982093811035,77.715087890625,12.958868980407715,77.71687316894531,0.5,0.5,0.5,8741,,,,,76756794,4537089,
2016-01-17,1947.013916015625,4803.861328125,12.951095581054688,77.71150970458984,12.958026885986328,77.7169189453125,1.3077316284179688,2.25,0.5,8127,,,,,77814790,5928605,
2016-01-18,1829.4527587890625,3426.341552734375,12.95112419128418,77.71527862548828,12.958971977233887,77.7168960571289,2.978257417678833,3.0,0.5,6274,,,,,81939056,3958438,
2016-01-19,1789.2578125,2748.77294921875,12.9513521194458,77.7155532836914,12.958972930908203,77.71684265136719,1.0307763814926147,1.0307763814926147,1.0307763814926147,5493,,,,,82890373,3284827,
2016-01-20,1845.745361328125,3458.5625,12.957856178283691,77.71533203125,12.958930015563965,77.71685791015625,,,,6348,,,,,81482548,4231482,
2016-01-21,1869.409912109375,3307.0439453125,12.951021194458008,77.71539306640625,12.958158493041992,77.71686553955078,1.9089469909667969,2.2360680103302,1.25,6768,,,,,81447440,4628064,
2016-01-22,1760.9276123046875,1996.459228515625,12.95078182220459,77.71533203125,12.958597183227539,77.71682739257812,,,,4915,,,,,81483926,2701052,47920
2016-01-23,1790.6646728515625,2967.72265625,12.9512357711792,77.69734954833984,13.007506370544434,77.71744537353516,2.6741201877593994,11.597413063049316,1.0,7760,,,,,72721491,3308409,
2016-01-24,1771.480712890625,2744.365234375,12.951037406921387,77.71554565429688,12.951082229614258,77.71566772460938,,,,5528,,,,,81575299,2986907,
2016-01-25,1951.1474609375,4654.9541015625,12.951068878173828,77.71514129638672,12.95819091796875,77.71676635742188,1.3852739334106445,3.25,0.5,9115,,,,,79123176,5997878,
2016-01-26,2234.72509765625,12922.67578125,12.949467658996582,77.70819854736328,13.154077529907227,78.33785247802734,7.3262434005737305,67.0,0.5,11484,,,,2465913,61844883,6234864,154113
2016-01-27,1816.018310546875,3215.779052734375,12.95110034942627,77.71527862548828,12.958651542663574,77.71658325195312,1.3623381853103638,2.25,0.5,6128,,,,,81718242,3733292,
2016-01-28,1811.650146484375,3072.97705078125,12.95009708404541,77.71469116210938,12.958656311035156,77.71687316894531,2.1932435035705566,10.0,0.5,6364,,,,,81660297,3660084,
2016-01-29,1844.895751953125,3816.10546875,12.949342727661133,77.714599609375,12.958802223205566,77.71687316894531,2.3935983180999756,18.0,0.5,7609,,,,,81458738,4217237,
2016-01-30,1754.0625,2233.057373046875,12.949529647827148,77.70690155029297,12.989012718200684,77.7186279296875,2.8649041652679443,20.665491104125977,0.5,4744,,,,,78371591,2695001,
